comment_text,like_count,reply_count,published_at
"Brahma Wisnu Syiwa sudah berkumpul, pujilah dewa rakyat wahai capres",0,0,2024-02-12T19:36:58Z
Ganjar baperannnnn,0,0,2024-02-12T16:21:05Z
Kesetiaan kepada rakyat kata Bpk Prabowo,0,0,2024-02-11T17:24:46Z
Duh pak prabowo tinggal jawab apa yg di tanya oleh pak anis malah ngeles gak pantas bahas etik tinggal jelaskan bukan lari😅,1,0,2024-02-11T01:21:48Z
seperti omongan maniss aja *amin,0,0,2024-02-10T08:18:58Z
"Kata Prabowo inflasi kita rendah,liat sekarang, inflasi kita tinggi pak, Prabowo nggk tau apa,apa arti dari kata inflasi 😂😂",1,1,2024-02-09T17:18:01Z
"Saya dulu punya cita-cita pertama yang di impikan yaitu jadi pemain sepakbola profesional, kalo impian saya tercapai masuk timnas Garuda, bermain di Eropa, juara Piala AFF/Asia sudah berjanji sepenuhnya..... saya akan memeberikan hukuman yang setimpal bagi para koruptor, membangun rumah sakit, sekolah, masjid, dan bantuan sosial bagi orang tidak mampu, itu lewat sepakbola yang saya cita-citakan dan impikan. Yaeahh sekarang apalah dayaku ini, hanya sebatas angan-angan saja yang bekerja seorang buruh pabrik hanya sebuah mencari uang, daripada menganggur tiada guna dirumah, hidup memang tidak adil jadi biasakanlah seperti diriku.🥺💔🥀",1,0,2024-02-07T12:37:12Z
Waduh serius nyesel gak nonton debat pertama capres.😭💔,0,0,2024-02-07T12:24:02Z
Sayang banget gua golput😢😢,0,0,2024-02-06T18:31:06Z
Cobaa aja pak bowo mau ungkit² kekurangan/kegagalan anis dn ganjar😂🤣 auto sangat memalukan😭😭😭😂,0,0,2024-02-05T19:32:13Z
ayo madyarakat ibdonesia  satukn hati n pilhan  no 2 Prabowo Gibran,0,0,2024-02-05T12:27:14Z
Bukti kerja kmariny apppaa yaa... NYATA3 SMPE AKRG INDO GK MERDEKA MASIH DIJAJAH JGA EKONOMINYA N HANCUR BUMN NYA SEMUA DIJUAL KE CINA..,0,0,2024-02-05T09:46:20Z
Konsisten dan ikhtiar dari bulan juni 2023 tetap pak prabowo❤,0,0,2024-02-04T22:40:06Z
01,1,0,2024-02-04T19:46:09Z
"Alhamdulillah..
Semoga Terwujud Presiden Jujur Cerdas Amanah Berani.. Untuk Indonesia..
Aamiin...",5,1,2024-02-04T19:26:18Z
Prabowo no anies yes,1,0,2024-02-04T17:37:54Z
02 🔥🔥,0,0,2024-02-04T16:48:53Z
abah anis ❤,2,0,2024-02-04T15:12:28Z
"di derah saya pengurus²nya merasa menjadi org² yg mampu, tanpa melihat masyarakat yg ada d lingkungannya
pengurus dari mulai Rt / RW / DESA termasuk pegawai²nya pada cuek ketika saya mau mendaftarkan DTKS sudah hampir 2th lebih belum ada hasil entah tdk d proses pengajuan saya sama pekerja DESA , saya mencoba menghubungi pegawai desa itu mengabaikan tdk merespon
saya harap abah anis bisa membereskan keluhan saya , tgl 8 Abah Anis k garut, semoga selalu d beri kesehatan dan kelancaran, yassarallahu umuurakum Abah
desa tanjung kemuning tarogong kaler garut",0,0,2024-02-04T15:11:14Z
abah anis ❤,2,0,2024-02-04T15:10:47Z
"Mantap pa,Prabowo",0,0,2024-02-04T15:02:47Z
Uu,0,0,2024-02-04T14:36:14Z
✌✌✌✌✌✌,0,0,2024-02-04T14:23:16Z
01,0,0,2024-02-04T14:19:25Z
"wes pak prabowo jawaben dari hati aja, santai aja,  selanjutnya sampean tak coblos...",0,0,2024-02-04T13:36:11Z
"01 presiden, perubahan perlu",1,0,2024-02-04T13:19:44Z
Semua nya omong kosong 😂😂😂😂,0,0,2024-02-04T13:08:59Z
❤,0,0,2024-02-04T12:25:15Z
1,0,0,2024-02-04T12:24:24Z
Amin ttp pilihan ku,0,0,2024-02-04T10:37:28Z
❤❤❤❤ 01 Anis menang 1 putaran,0,0,2024-02-04T10:36:50Z
"Klo sya nilai dari debat debat yg sudah dilakukan, ganjar smakin berani ngomong, anis masih tetap dalam berbicara, prabowo semakin bernaluri meyakinkan masyarakat.
Tapi temanya seperti itu itu aja rasanya sampe ada jawaban yg terulang.",0,0,2024-02-04T03:12:52Z
Pak Bowoo,0,0,2024-02-03T22:46:04Z
Kalau dah bawa² Palestina jadi topiik. I dah habak dah akhirnya. Tau bgt org indonesia sensitif sama topik tu,0,0,2024-02-03T22:45:50Z
"bagaimana jia pak prabowo nanti maf sudah tidak kuat? 🙏 saya mungkin tidak memihak siappun, tp melihat beliau sudah semakin tua. aoakah klian tidak berfikir? hehe",0,0,2024-02-03T22:14:00Z
prabowo presidenku,0,0,2024-02-03T20:34:45Z
"Emas semakin digosok akan semakin mengkilap, semakin yakin keiklasan hati utk memilih pak prabowo sebagai presiden RI 2024.",1,0,2024-02-03T16:15:24Z
"Kita benar harus kuat bertekat sama sama seluruhnya seperti dulu tekat ingin merdeka.dulu kita tertindas terjajah karna paktur ekonomi & kebodohan/pembuduhan yg di samarkan.kini pun kita ingin merubah tarap ekonomi/ingin memperbaiki ekonomi,jangan sampai terjadi/terulang pembodohan,/penyAmaran... dalam tanda kutif....!!!!🙏🙏",0,0,2024-02-03T14:49:22Z
"Jgn pilih 01sdh jelas di hatinya selalu  menyerang dan menyakiti hati lawan debat , visi misi yg di sampaikan selalu gk masuk akal ,,dan omon omon kosong",0,0,2024-02-03T12:58:20Z
"Visi misi dan program yg di sampaikan Anis Baswedan, terlalu dungu gk masuk akal, seharusnya debat yg di sampaikan malam hari harus lebih berbobot.! Dan ini bisa menarik hat.!i dan bisa jadi perhatian publik yg mau dukung tidak ragu2",1,0,2024-02-03T12:31:17Z
"1:20:26 misanya, membuat karya seni bambu getah getih yg memakan anggaran 550jt dan hanya bertahan selama 11 bulan dan menjadi sampah...😅",0,0,2024-02-03T12:14:25Z
✌️✌️,0,0,2024-02-03T09:42:57Z
Yang ini sudah Lewat bro..ngapain itu aja di tampilkan..yang belum belum itu bro..,0,0,2024-02-03T05:45:51Z
Debat pilpres pak prabowo selalu emosional tidak memunculkan gagasan utk membawa perubahan dan memperpanjang kerusakan kekuasaan Jokowi kemiskinan utk rakyat indonesia,0,0,2024-02-02T18:09:09Z
Lier anissss lier ahh kumaha😅,0,0,2024-02-02T12:21:52Z
"Coba nanti di debat kelima di kasih moment berdebat pakai bahasa asing, kan gda salahnya",0,0,2024-02-02T09:19:43Z
Dp 0%,0,0,2024-02-01T18:25:32Z
sama jgh pa ganjar hax bax omongan2 sjh..02 ttap d..atas yg lain k..laut joh😅😅😅😅😅😅😅,0,0,2024-02-01T16:04:20Z
😂😂😂😂😅😅😅😅kata2mu itu bohong smuax pa anis..😅😅😅,0,0,2024-02-01T16:02:12Z
P,0,0,2024-02-01T12:34:41Z
"Gampang saja
Pilih no 1 jika ingin pemerintahan beda dengan yang sekarang karena kelihatannya pak anies menganggap program pak jokowi tidak benar/bagus (koreksi jika salah)
Pilih no 2 jika ingin program"" Pak jokowi dilanjutkan (koreksi juga jika salah)
Kalau no 3 aku kurang tahu jadi bagi yang tahu bisa dimasukkan ke balasan komentar saya",0,0,2024-02-01T11:37:32Z
"untuk tersangka lain mereka pada punya saksi tapi buat danu cukup repot  karena dia tidak punya saksi satu pun baik sebelum atau pada saat kejadian dan juga sesudah kejadian,",0,0,2024-01-31T22:53:33Z
"Buktikan kalau jadi presiden suka dekat dengan rakyat, suka mberi, bicara nya tidak menyinggung rakyat",0,0,2024-01-31T01:37:42Z
"Isi otaknya hnya mnjatukn dg mnjlekkkn ,otak para bnr"" sy bnci kedua org ini,smga stelah kala tdk punya jabatn apa"" mau nunjukin wawasan mala bgurusin prtahanan dg nilai yg bnr"" miris, klo emg prtahanan nilainya satu, mgkin negara ini sd di ambang pnjajahn untuk kedua kalinya",0,0,2024-01-30T22:53:54Z
"Cinta di mulut to bpk brdua ini , bnr"" ud gk punya akal sehat, pertahanan mau di buka paraaaaaahhh bnr""para",0,0,2024-01-30T22:50:36Z
"Gua masih di ambang awan dan sinar,harus pilih bintang yang mana",0,0,2024-01-30T19:15:07Z
